['北京', '小叶子（北京）科技有限公司', '150-500人', '本科', 'python开发工程师', '全职', '15k-30k', '3-5年']
['上海', '上海坤亿信息技术有限公司', '150-500人', '本科', 'python开发工程师', '全职', '10k-18k', '1-3年']
['西安', '北京神州绿盟信息安全科技股份有限公司', '500-2000人', '本科', 'python开发工程师', '全职', '9k-15k', '1-3年']
['上海', '上海微创软件股份有限公司', '2000人以上', '大专', 'python开发', '全职', '14k-22k', '5-10年']
['苏州', '上海微创软件股份有限公司', '2000人以上', '本科', 'python开发', '全职', '15k-25k', '3-5年']
['深圳', '行云智能（深圳）技术有限公司', '15-50人', '本科', 'Python开发工程师', '全职', '10k-20k', '1-3年']
['北京', '北京高域海汇科技有限公司', '150-500人', '本科', 'python工程师', '全职', '20k-35k', '3-5年']
['广州', '广州悦谦科技有限公司', '50-150人', '本科', 'Python开发工程师', '全职', '15k-30k', '3-5年']
['广州', '深圳道乐科技有限公司', '150-500人', '本科', 'python开发工程师', '全职', '7k-10k', '1-3年']
['西安', '西安数据如金信息科技有限公司', '50-150人', '本科', 'Python开发工程师', '全职', '12k-20k', '3-5年']
['深圳', '深圳市法本信息技术股份有限公司', '2000人以上', '本科', 'python开发', '全职', '10k-14k', '1-3年']
['广州', '南京厚建云计算有限公司广州分公司', '50-150人', '本科', 'python开发工程师', '全职', '9k-18k', '1-3年']
['广州', '南京厚建云计算有限公司广州分公司', '50-150人', '本科', 'Python开发', '全职', '15k-20k', '3-5年']
['上海', '上海金亥通信设备有限公司', '50-150人', '大专', 'python开发', '全职', '13k-18k', '3-5年']
['深圳', '上海非夕机器人科技有限公司', '150-500人', '本科', 'python开发工程师', '全职', '15k-30k', '3-5年']
['北京', '北京币世界网络科技有限公司', '150-500人', '本科', 'python开发工程师', '全职', '17k-34k', '3-5年']
['北京', '贝壳找房（北京）科技有限公司', '2000人以上', '本科', 'Python工程师', '全职', '20k-40k', '3-5年']
['上海', '易宝软件科技（南京）有限公司', '150-500人', '大专', 'python开发', '全职', '13k-19k', '3-5年']
['杭州', '易宝软件科技（南京）有限公司', '150-500人', '本科', 'Python开发工程师', '全职', '12k-14k', '1-3年']
['上海', '上海灏程信息科技有限公司', '15-50人', '大专', 'Python开发工程师', '全职', '15k-30k', '5-10年']
['北京', '北京博乐科技有限公司', '150-500人', '本科', 'python开发', '全职', '12k-24k', '不限']
['大连', '云势天下（北京）软件有限公司', '150-500人', '大专', 'Python开发工程师', '全职', '10k-15k', '3-5年']
['北京', '云势天下（北京）软件有限公司', '150-500人', '本科', 'python开发工程师', '全职', '18k-25k', '3-5年']
['上海', '翼健（上海）信息科技有限公司', '50-150人', '本科', 'Python开发工程师', '全职', '12k-20k', '1-3年']
